Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,30.845715,35.549999,29.145714,32.321430,32.321430,536788000
2013-06-01,32.435715,33.697144,29.392857,30.155714,30.155714,412636700
2013-07-01,30.517143,38.615715,30.285713,34.925713,34.925713,542920700
2013-08-01,35.220001,41.461430,34.482857,40.558571,40.558571,416838800
2013-09-01,41.061428,45.770000,40.650002,44.172855,44.172855,386857800
2013-10-01,44.967144,55.594288,40.400002,46.068569,46.068569,840456400
2013-11-01,46.975716,52.542858,46.450001,52.257141,52.257141,343557900
2013-12-01,52.125713,54.851429,50.285713,52.595715,52.595715,313308800
2014-01-01,52.401428,58.914288,45.581429,58.475716,58.475716,600418700
2014-02-01,58.842857,65.398567,56.715714,63.661430,63.661430,317384200
2014-03-01,63.027142,65.428574,49.982857,50.290001,50.290001,377239800
2014-04-01,50.250000,54.411430,42.785713,46.005714,46.005714,648605300
2014-05-01,46.292858,60.248569,44.908569,59.689999,59.689999,523837300
2014-06-01,59.925713,64.402855,58.928570,62.942856,62.942856,352660000
2014-07-01,65.175713,67.981430,59.788570,60.388573,60.388573,429839200
2014-08-01,60.251431,69.328568,58.930000,68.234283,68.234283,274274000
2014-09-01,68.357140,69.898567,62.697144,64.454285,64.454285,268345700
2014-10-01,64.098572,66.855713,47.285713,56.110001,56.110001,583226000
2014-11-01,56.175713,56.502857,49.142857,49.512856,49.512856,256594800
2014-12-01,49.285713,51.135715,45.077145,48.801430,48.801430,265990200
2015-01-01,49.151428,65.339996,45.264286,63.114285,63.114285,425938100
2015-02-01,62.842857,69.500000,61.955715,67.844284,67.844284,209678700
2015-03-01,67.714287,68.607140,58.572857,59.527142,59.527142,327866000
2015-04-01,59.642857,82.304283,58.464287,79.500000,79.500000,508463900
2015-05-01,79.855713,90.205711,78.894287,89.151428,89.151428,280030800
2015-06-01,88.837143,100.891426,87.944283,93.848572,93.848572,469260400
2015-07-01,94.805717,117.879997,92.284286,114.309998,114.309998,406357500
2015-08-01,114.599998,129.289993,85.500000,115.029999,115.029999,469661800
2015-09-01,109.349998,111.239998,93.550003,103.260002,103.260002,497401200
2015-10-01,102.910004,115.830002,96.260002,108.379997,108.379997,446204400
2015-11-01,109.199997,126.599998,101.860001,123.330002,123.330002,320321800
2015-12-01,124.470001,133.270004,113.849998,114.379997,114.379997,319939200
2016-01-01,109.000000,122.180000,90.110001,91.839996,91.839996,488193200
2016-02-01,91.790001,97.480003,79.949997,93.410004,93.410004,389268900
2016-03-01,94.580002,104.910004,93.610001,102.230003,102.230003,311333700
2016-04-01,102.930000,111.849998,88.209999,90.029999,90.029999,340174300
2016-05-01,90.410004,104.000000,85.739998,102.570000,102.570000,264997900
2016-06-01,101.500000,102.150002,84.809998,91.480003,91.480003,218216500
2016-07-01,95.000000,101.269997,84.500000,91.250000,91.250000,320138000
2016-08-01,91.230003,98.849998,90.500000,97.449997,97.449997,182611000
2016-09-01,97.809998,100.349998,93.260002,98.550003,98.550003,169670600
2016-10-01,98.000000,129.289993,97.629997,124.870003,124.870003,274097800
2016-11-01,124.980003,125.830002,110.680000,117.000000,117.000000,147513000
2016-12-01,117.519997,129.070007,113.949997,123.800003,123.800003,128528700
2017-01-01,124.959999,143.460007,124.309998,140.710007,140.710007,181814100
2017-02-01,141.199997,145.949997,139.050003,142.130005,142.130005,91444800
2017-03-01,142.839996,148.289993,138.259995,147.809998,147.809998,110692700
2017-04-01,146.699997,153.520004,138.660004,152.199997,152.199997,149779000
2017-05-01,151.910004,164.750000,151.610001,163.070007,163.070007,116795800
2017-06-01,163.520004,166.869995,147.300003,149.410004,149.410004,135699700
2017-07-01,149.800003,191.500000,144.250000,181.660004,181.660004,185144700
2017-08-01,182.490005,184.619995,164.229996,174.710007,174.710007,136534400
2017-09-01,175.550003,189.949997,172.440002,181.350006,181.350006,111427900
2017-10-01,182.110001,204.380005,176.580002,196.429993,196.429993,208657800
2017-11-01,197.240005,202.479996,184.320007,187.580002,187.580002,110996600
2017-12-01,186.990005,194.490005,178.380005,191.960007,191.960007,115103700
2018-01-01,196.100006,286.809998,195.419998,270.299988,270.299988,238377600
2018-02-01,266.410004,297.359985,236.110001,291.380005,291.380005,184585800
2018-03-01,292.750000,333.980011,275.899994,295.350006,295.350006,263449400
2018-04-01,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
2018-05-01,310.359985,356.100006,305.730011,351.600006,351.600006,142050800
2018-06-01,353.880005,423.209991,352.820007,391.429993,391.429993,244031800
2018-07-01,385.450012,419.769989,328.000000,337.450012,337.450012,305393800
2018-08-01,335.869995,376.809998,310.929993,367.679993,367.679993,213122300
2018-09-01,366.470001,383.200012,335.829987,374.130005,374.130005,170832100
2018-10-01,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
2018-11-01,304.589996,332.049988,250.000000,286.130005,286.130005,257126400
2018-12-01,293.190002,298.720001,231.229996,267.660004,267.660004,234310000
2019-01-01,259.279999,358.850006,256.579987,339.500000,339.500000,306616400
2019-02-01,337.179993,371.489990,336.500000,358.100006,358.100006,148192100
2019-03-01,362.260010,379.000000,342.470001,356.559998,356.559998,144843100
2019-04-01,359.000000,384.799988,342.269989,370.540009,370.540009,165079400
2019-05-01,374.000000,385.989990,341.390015,343.279999,343.279999,125298300
2019-06-01,343.559998,375.000000,332.649994,367.320007,367.320007,111052000
2019-07-01,373.500000,384.760010,305.809998,322.989990,322.989990,196652500
2019-08-01,324.250000,328.579987,287.200012,293.750000,293.750000,137076700
2019-09-01,290.820007,301.549988,252.279999,267.619995,267.619995,175411300
2019-10-01,267.350006,308.750000,257.010010,287.410004,287.410004,231556400
2019-11-01,288.700012,316.820007,281.140015,314.660004,314.660004,113645900
2019-12-01,314.390015,338.000000,292.019989,323.570007,323.570007,124723600
2020-01-01,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
2020-02-01,347.239990,392.950012,346.279999,369.029999,369.029999,114056000
2020-03-01,373.109985,393.519989,290.250000,375.500000,375.500000,201979100
2020-04-01,376.049988,449.519989,357.510010,419.850006,419.850006,225111600
2020-05-01,415.100006,458.970001,397.859985,419.730011,419.730011,135055800
2020-06-01,418.829987,474.010010,404.250000,455.040009,455.040009,117279900
2020-07-01,454.000000,575.369995,454.000000,488.880005,488.880005,232206300
2020-08-01,490.859985,549.039978,466.549988,529.559998,529.559998,116261900
2020-09-01,532.599976,557.390015,458.600006,500.029999,500.029999,118796900
2020-10-01,506.029999,572.489990,472.209991,475.739990,475.739990,154302400
2020-11-01,478.869995,518.729980,463.410004,490.700012,490.700012,91788900
2020-12-01,492.339996,545.500000,491.290009,540.729980,540.729980,77564100
2021-01-01,539.000000,593.289978,485.670013,532.390015,532.390015,139988600
2021-02-01,536.789978,566.650024,518.280029,538.849976,538.849976,61902300
2021-03-01,545.570007,556.989990,492.850006,521.659973,521.659973,90183900
2021-04-01,529.929993,563.559998,499.000000,513.469971,513.469971,111573300
2021-05-01,512.650024,518.950012,478.540009,502.809998,502.809998,66927600
2021-06-01,504.010010,536.130005,482.140015,528.210022,528.210022,78560600
2021-07-01,525.719971,557.539978,504.660004,517.570007,517.570007,77221200
2021-08-01,519.000000,569.479980,505.369995,569.190002,569.190002,54747700
2021-09-01,569.000000,619.000000,568.080017,610.340027,610.340027,82317500
2021-10-01,604.239990,690.969971,594.679993,690.309998,690.309998,98576300
2021-11-01,689.059998,700.989990,640.010010,641.900024,641.900024,64530200
2021-12-01,649.479980,654.520020,581.739990,602.440002,602.440002,59975300
2022-01-01,605.609985,609.989990,351.459991,427.140015,427.140015,241662000
2022-02-01,432.959991,458.480011,354.720001,394.519989,394.519989,151010700
2022-03-01,391.600006,396.500000,329.820007,374.589996,374.589996,119491900
2022-04-01,376.799988,396.019989,185.600006,190.360001,190.360001,403325400
2022-05-01,191.710007,204.380005,162.710007,197.440002,197.440002,251615800
2022-06-01,198.699997,207.380005,164.279999,174.869995,174.869995,192552700
2022-07-01,176.490005,230.750000,169.699997,224.899994,224.899994,270083700
2022-08-01,223.100006,251.990005,218.740005,223.559998,223.559998,152258300
2022-09-01,220.720001,250.490005,214.690002,235.440002,235.440002,233920700
2022-10-01,237.850006,305.630005,211.729996,291.880005,291.880005,335263800
2022-11-01,296.170013,312.709991,252.089996,305.529999,305.529999,185683000
2022-12-01,303.989990,332.720001,273.410004,294.880005,294.880005,193080900
2023-01-01,298.059998,369.019989,288.700012,353.859985,353.859985,206417400
2023-02-01,353.859985,379.429993,314.299988,322.130005,322.130005,123374100
2023-03-01,321.549988,345.839996,285.329987,345.480011,345.480011,157532700
2023-04-01,341.829987,349.799988,332.630005,339.329987,339.329987,16577800
2023-04-06,339.339996,340.480011,332.709991,339.329987,339.329987,4660542
