Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,2.810000,4.420000,2.790000,4.000000,4.000000,956205200
2013-06-01,4.020000,4.210000,3.810000,4.080000,4.080000,432452200
2013-07-01,4.110000,4.650000,3.580000,3.770000,3.770000,887955000
2013-08-01,3.810000,3.870000,3.250000,3.270000,3.270000,436575700
2013-09-01,3.320000,4.000000,3.250000,3.810000,3.810000,549781400
2013-10-01,3.820000,4.130000,3.040000,3.340000,3.340000,909573300
2013-11-01,3.370000,3.680000,3.200000,3.640000,3.640000,312102400
2013-12-01,3.650000,3.880000,3.480000,3.870000,3.870000,313148800
2014-01-01,3.850000,4.600000,3.350000,3.430000,3.430000,770422000
2014-02-01,3.430000,3.770000,3.290000,3.710000,3.710000,317509100
2014-03-01,3.660000,4.140000,3.600000,4.010000,4.010000,451073000
2014-04-01,4.040000,4.350000,3.650000,4.090000,4.090000,592512300
2014-05-01,4.130000,4.240000,3.850000,4.000000,4.000000,310712200
2014-06-01,4.030000,4.500000,3.900000,4.190000,4.190000,431502500
2014-07-01,4.210000,4.800000,3.670000,3.910000,3.910000,1077778500
2014-08-01,3.910000,4.320000,3.870000,4.170000,4.170000,462568300
2014-09-01,4.160000,4.250000,3.400000,3.410000,3.410000,372572500
2014-10-01,3.390000,3.460000,2.540000,2.800000,2.800000,673408400
2014-11-01,2.810000,2.910000,2.590000,2.790000,2.790000,213816500
2014-12-01,2.770000,2.820000,2.350000,2.670000,2.670000,303879500
2015-01-01,2.670000,2.840000,2.140000,2.570000,2.570000,435408400
2015-02-01,2.690000,3.370000,2.650000,3.110000,3.110000,339665200
2015-03-01,3.130000,3.230000,2.530000,2.680000,2.680000,269815500
2015-04-01,2.660000,2.940000,2.250000,2.260000,2.260000,335187000
2015-05-01,2.260000,2.390000,2.200000,2.280000,2.280000,210397100
2015-06-01,2.290000,2.670000,2.250000,2.400000,2.400000,389269100
2015-07-01,2.470000,2.630000,1.610000,1.930000,1.930000,406747300
2015-08-01,1.930000,2.210000,1.650000,1.810000,1.810000,252729100
2015-09-01,1.770000,2.140000,1.650000,1.720000,1.720000,188468000
2015-10-01,1.770000,2.210000,1.720000,2.120000,2.120000,205349000
2015-11-01,2.130000,2.400000,1.940000,2.360000,2.360000,136451200
2015-12-01,2.360000,3.060000,2.200000,2.870000,2.870000,266450600
2016-01-01,2.770000,2.820000,1.750000,2.200000,2.200000,355489300
2016-02-01,2.170000,2.190000,1.810000,2.140000,2.140000,192749800
2016-03-01,2.160000,2.980000,2.120000,2.850000,2.850000,333321700
2016-04-01,2.790000,3.990000,2.600000,3.550000,3.550000,472576300
2016-05-01,3.580000,4.710000,3.450000,4.570000,4.570000,394438600
2016-06-01,4.600000,5.520000,4.070000,5.140000,5.140000,625642500
2016-07-01,5.090000,7.160000,4.820000,6.860000,6.860000,700562400
2016-08-01,6.890000,8.000000,6.150000,7.400000,7.400000,606398900
2016-09-01,7.180000,7.640000,5.660000,6.910000,6.910000,1041904000
2016-10-01,6.950000,7.530000,6.240000,7.230000,7.230000,869559700
2016-11-01,7.320000,9.230000,6.220000,8.910000,8.910000,990277900
2016-12-01,8.920000,12.420000,8.260000,11.340000,11.340000,1155647500
2017-01-01,11.420000,11.690000,9.420000,10.370000,10.370000,878890400
2017-02-01,10.900000,15.550000,10.810000,14.460000,14.460000,1571999700
2017-03-01,15.080000,15.090000,12.380000,14.550000,14.550000,1733593200
2017-04-01,14.600000,14.740000,12.220000,13.300000,13.300000,943383500
2017-05-01,13.430000,13.630000,9.850000,11.190000,11.190000,1716437000
2017-06-01,11.250000,14.670000,10.570000,12.480000,12.480000,2208152100
2017-07-01,12.570000,15.650000,12.130000,13.610000,13.610000,1710461400
2017-08-01,13.720000,13.930000,11.860000,13.000000,13.000000,1190382100
2017-09-01,13.120000,14.240000,12.040000,12.750000,12.750000,1209201600
2017-10-01,12.800000,14.410000,10.650000,10.990000,10.990000,1358068500
2017-11-01,11.250000,12.270000,10.660000,10.890000,10.890000,1039199400
2017-12-01,10.810000,11.190000,9.700000,10.280000,10.280000,795755000
2018-01-01,10.420000,13.850000,10.340000,13.740000,13.740000,1335288900
